policy_id,lookback,threshold,switching_cost_bps,worst_return,worst_sharpe,worst_drawdown,minimum_exposure,median_return,stable
MG_L200_T0_C100,200,0.0,100.0,-0.09746194581389644,-0.329694271836208,-0.30203319479990987,0.5862068965517241,0.15640567217391987,False
MG_L90_T2_C100,90,0.02,100.0,-0.06209581875491388,-0.3454821996119444,-0.15451865816160826,0.25,-0.009684444203751752,False
MG_L200_T2_C0,200,0.02,0.0,-0.10451703206235563,-0.3655810769061318,-0.30203319479990975,0.4827586206896552,0.2232850057365907,False
MG_L10_T2_C25,10,0.02,25.0,-0.0735249417222017,-0.36980895106003425,-0.23255220364191498,0.125,0.011017601345306494,False
MG_L5_T-2_C0,5,-0.02,0.0,-0.13360218320812167,-0.37091929261283074,-0.47167857212506603,0.8620689655172413,0.18049473190618803,False
MG_L10_T0_C100,10,0.0,100.0,-0.09103977803475205,-0.38454207979533644,-0.26883284413576525,0.5,0.09811910861724205,False
MG_L60_T2_C50,60,0.02,50.0,-0.07578827609524708,-0.3903695496580237,-0.18031034396017354,0.25,-0.011866791889020345,False
MG_L200_T2_C25,200,0.02,25.0,-0.11343755301014613,-0.3978051441415721,-0.30203319479990964,0.4827586206896552,0.21121064935437317,False
MG_L5_T0_C50,5,0.0,50.0,-0.13223029075179282,-0.4110775845185048,-0.38246842228783373,0.6206896551724138,0.07074221069267572,False
MG_L5_T-2_C25,5,-0.02,25.0,-0.14865852707057958,-0.4145679243824365,-0.4743212931298276,0.8620689655172413,0.18049473190618803,False
MG_L200_T2_C50,200,0.02,50.0,-0.12229126060073015,-0.42966425942240033,-0.3020331947999101,0.4827586206896552,0.19929351754145086,False
MG_L5_T-2_C50,5,-0.02,50.0,-0.16349004072337847,-0.4576297275456989,-0.4769573879820318,0.8620689655172413,0.18049473190618803,False
MG_L200_T2_C100,200,0.02,100.0,-0.1397995726573108,-0.49203744034773866,-0.30203319479990987,0.4827586206896552,0.1601671706471629,False
MG_L15_T2_C0,15,0.02,0.0,-0.09848172073334638,-0.5332984769563883,-0.1916491372514979,0.25,0.05126810414252225,False
MG_L5_T-2_C100,5,-0.02,100.0,-0.19248976825764685,-0.5416342916396295,-0.4822096992287713,0.8620689655172413,0.18049473190618803,False
MG_L5_T2_C100,5,0.02,100.0,-0.14621332731857006,-0.5665098986109858,-0.20482942204390164,0.0,-0.009506839417497026,False
MG_L120_T2_C0,120,0.02,0.0,-0.14610873088170695,-0.5693147319747355,-0.30203319479990975,0.375,0.0919647011383512,False
MG_L5_T0_C100,5,0.0,100.0,-0.18321486880835758,-0.5728479217495687,-0.3917733955501814,0.6206896551724138,0.049305223937112785,False
MG_L10_T2_C50,10,0.02,50.0,-0.11431426509233322,-0.5818357193909489,-0.24399043388005492,0.125,0.005965397216920687,False
MG_L120_T2_C25,120,0.02,25.0,-0.15882355650915136,-0.6214943108671473,-0.30203319479990964,0.375,0.08650681028745633,False
MG_L60_T2_C100,60,0.02,100.0,-0.13000530275788025,-0.6637058536013068,-0.19672362214126216,0.25,-0.04125911985604852,False
MG_L120_T2_C50,120,0.02,50.0,-0.171380214835944,-0.6726518218606236,-0.3020331947999101,0.375,0.08106943715404391,False
MG_L15_T0_C100,15,0.0,100.0,-0.14181851309593052,-0.6938444194138331,-0.22335188614879176,0.41379310344827586,-0.003505421833904898,False
MG_L15_T2_C25,15,0.02,25.0,-0.13376386468324275,-0.7368635849158999,-0.199664153213699,0.25,0.038209437520739575,False
MG_L120_T2_C100,120,0.02,100.0,-0.1960253295822595,-0.7711872346721974,-0.30203319479990987,0.375,0.07025603769886257,False
MG_L15_T2_C50,15,0.02,50.0,-0.16774831417473257,-0.9338617283488586,-0.20761941834587017,0.25,0.025280864378541157,False
MG_L10_T2_C100,10,0.02,100.0,-0.19085915009845078,-0.9761635585478335,-0.26644106103439535,0.125,-0.00410104633490227,False
MG_L15_T2_C100,15,0.02,100.0,-0.2320013295179142,-1.2937358479515821,-0.24828753175894602,0.25,-0.0001898943709230938,False
