date,event,fold,observations,return_applied,ticker,window
,non_trading_mark_carry,0,11.0,,TAC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TCB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TCH,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TCL,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TCM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TCO,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TCT,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TDG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TDH,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TEG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,THG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TIP,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TLG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TLH,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TMT,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TNH,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TNT,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TPB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TRA,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TRC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TSC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TTA,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TTF,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TVB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TVS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,TVT,estimation_classical_benchmark
,non_trading_mark_carry,0,9.0,,UDC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VCA,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VCB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VCG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VCI,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VDS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VGC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VHC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VHM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VIC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VID,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VIP,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VIX,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VMD,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VND,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VNL,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VNM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VOS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VPB,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VPG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VPI,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,VRC,estimation_classical_benchmark
