policy_id,lookback,threshold,switching_cost_bps,sample,method,mean_exposure,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
MG_L160_T2_C100,160,0.02,100.0,development,AUR,0.5517241379310345,604,-0.015950397463221133,-0.006685994763107828,0.1226303455504595,-0.05452153570224344,-0.044363184808089456,-0.30203319479990987
MG_L160_T2_C100,160,0.02,100.0,development,QAUR,0.5517241379310345,604,-0.015950397463221133,-0.006685994763107828,0.1226303455504595,-0.05452153570224344,-0.044363184808089456,-0.30203319479990987
MG_L160_T2_C100,160,0.02,100.0,historical_holdout,AUR,0.6666666666666666,312,-0.00931088936989144,-0.007527091552306353,0.13362683408763165,-0.0563291916904215,-0.06174727761833488,-0.15922547348509952
MG_L160_T2_C100,160,0.02,100.0,historical_holdout,QAUR,0.6666666666666666,312,0.043623422251102495,0.03508901294237532,0.13711262031735025,0.2559138091093366,0.2882323252202848,-0.15922547348509952
MG_L160_T2_C100,160,0.02,100.0,observed_2026,AUR,0.375,160,0.08291685311977837,0.13367169182825123,0.10259315577565636,1.3029299159152026,1.1521284683328092,-0.03739451144014039
MG_L160_T2_C100,160,0.02,100.0,observed_2026,QAUR,0.375,160,0.08285344358596958,0.13356714280088222,0.10260347112004574,1.301779962635076,1.1510269535675934,-0.0373945114401405
MG_L200_T-2_C0,200,-0.02,0.0,bridge,AUR,1.0,22,0.0016570682302721185,0.019146237094389118,0.13637363349341663,0.14039544598123063,0.39307262830926787,-0.05739971099287133
MG_L200_T-2_C0,200,-0.02,0.0,bridge,QAUR,1.0,22,-0.004261013285338566,-0.04773531502797379,0.17620952118709393,-0.27090088382505667,-0.4735245860962242,-0.050549381198343624
MG_L200_T-2_C0,200,-0.02,0.0,development,AUR,0.6206896551724138,604,-0.019145486912339638,-0.008032870696284666,0.1272596729841991,-0.06312188698836314,-0.05582195788250396,-0.30203319479990975
MG_L200_T-2_C0,200,-0.02,0.0,development,QAUR,0.6206896551724138,604,-0.019145486912339638,-0.008032870696284666,0.1272596729841991,-0.06312188698836314,-0.05582195788250396,-0.30203319479990975
