fold,feature,training_coverage,active
41,beta_60d,0.9952864333451172,True
41,roe_pit,0.0,False
41,revenue_growth_yoy_pit,0.0,False
41,policy_rate_pit,0.0,False
42,return_5d,0.9995870190027067,True
42,return_20d,0.9983313335379636,True
42,return_60d,0.9951893294639619,True
42,return_120d,0.9905907302508581,True
42,sma_ratio_20,0.9984150459022798,True
42,ema_ratio_20,1.0,True
42,rsi_14,0.98516058821888,True
42,macd,1.0,True
42,atr_14,0.998917320088177,True
42,volatility_20d,0.9983313335379636,True
42,downside_volatility_20d,0.9984150459022798,True
42,drawdown_60d,0.9952674610039903,True
42,liquidity_20d,0.9984150459022798,True
42,beta_60d,0.9951893294639619,True
42,roe_pit,0.0,False
42,revenue_growth_yoy_pit,0.0,False
42,policy_rate_pit,0.0,False
43,return_5d,0.9996368999072698,True
43,return_20d,0.9985252550079882,True
43,return_60d,0.9952796987945077,True
43,return_120d,0.9905873283653792,True
43,sma_ratio_20,0.998603461181807,True
43,ema_ratio_20,1.0,True
43,rsi_14,0.9845766252918766,True
43,macd,1.0,True
43,atr_14,0.9990559397589015,True
43,volatility_20d,0.9985252550079882,True
43,downside_volatility_20d,0.998603461181807,True
43,drawdown_60d,0.9953579049683265,True
43,liquidity_20d,0.998603461181807,True
43,beta_60d,0.9952796987945077,True
43,roe_pit,0.0,False
43,revenue_growth_yoy_pit,0.0,False
43,policy_rate_pit,0.0,False
