config_id,family,candidate_size,portfolio_cardinality,weight_upper,weight_lower,weight_mode,signal_blend,correlation_penalty,stability_weight,covariance_span,covariance_shrinkage,risk_aversion_qubo,risk_aversion_weights,turnover_penalty,volatility_target,transaction_cost_bps,qa_warm_start,market_regime_lookback,minimum_validation_ic,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown,mean_max_weight,mean_effective_names
W_K8P4_CP30,warm_started_qaur,8,4,0.3,0.02,normalized_mean_variance,0.7,0.3,0.0,60,0.2,0.55,2.0,0.15,0.0,25.0,True,0,-1.0,QAUR,140,-0.028712557284758078,-0.051087881113554,0.13210877990115308,-0.3867107178779424,-0.51203345341313,-0.07990191367883381,0.3,3.630327656024441
W_K8P4_CP50,warm_started_qaur,8,4,0.3,0.02,normalized_mean_variance,0.7,0.5,0.0,60,0.2,0.55,2.0,0.15,0.0,25.0,True,0,-1.0,AUR,140,-0.013804661178359434,-0.02471105387698669,0.13945177432026942,-0.17720143036856947,-0.22189217824850765,-0.06821547793878835,0.29999999999999993,3.66949465598455
W_K8P4_CP50,warm_started_qaur,8,4,0.3,0.02,normalized_mean_variance,0.7,0.5,0.0,60,0.2,0.55,2.0,0.15,0.0,25.0,True,0,-1.0,QAUR,140,-0.14580591967524947,-0.2469881627782039,0.15935912818073372,-1.5498839984747381,-1.9526040082631422,-0.19108797580177594,0.3,3.687110869792627
W_K8P4_CP75,warm_started_qaur,8,4,0.3,0.02,normalized_mean_variance,0.7,0.75,0.0,60,0.2,0.55,2.0,0.15,0.0,25.0,True,0,-1.0,AUR,140,-0.13973449931082316,-0.2373267537913315,0.1553758613104017,-1.5274364485562697,-1.9009955457242433,-0.18090898127061317,0.3,3.6752056560959927
W_K8P4_CP75,warm_started_qaur,8,4,0.3,0.02,normalized_mean_variance,0.7,0.75,0.0,60,0.2,0.55,2.0,0.15,0.0,25.0,True,0,-1.0,QAUR,140,-0.16268766586412953,-0.2735637971885734,0.1595767509502132,-1.7143086042272118,-2.243909527653801,-0.20330803129888964,0.2999999999999999,3.688325473143682
W_K10P6_CP30,warm_started_qaur,10,6,0.25,0.02,normalized_mean_variance,0.7,0.3,0.0,60,0.2,0.55,2.0,0.15,0.0,25.0,True,0,-1.0,AUR,140,-0.1271699557416348,-0.21715922799059517,0.1422910345847255,-1.5261624080840477,-1.967621013888426,-0.1665821894524525,0.24999999999929529,4.545741896060106
W_K10P6_CP30,warm_started_qaur,10,6,0.25,0.02,normalized_mean_variance,0.7,0.3,0.0,60,0.2,0.55,2.0,0.15,0.0,25.0,True,0,-1.0,QAUR,140,-0.13165637808982134,-0.2243872964813035,0.13477475853636725,-1.6649059432056446,-2.1485149210142382,-0.1772684650648786,0.2499999999992953,4.529990956593791
W_K10P6_CP50,warm_started_qaur,10,6,0.25,0.02,normalized_mean_variance,0.7,0.5,0.0,60,0.2,0.55,2.0,0.15,0.0,25.0,True,0,-1.0,AUR,140,-0.14008706594225317,-0.2378892874502232,0.14447574896238086,-1.6465689858591126,-2.0719571825010514,-0.16829334891368297,0.24999999999999997,4.484855357236514
W_K10P6_CP50,warm_started_qaur,10,6,0.25,0.02,normalized_mean_variance,0.7,0.5,0.0,60,0.2,0.55,2.0,0.15,0.0,25.0,True,0,-1.0,QAUR,140,-0.1432980043161235,-0.24300397074184354,0.14582364727138342,-1.6664236239380559,-2.0707386066382694,-0.16800787954203833,0.24999999999999997,4.570722170620966
W_K10P6_CP75,warm_started_qaur,10,6,0.25,0.02,normalized_mean_variance,0.7,0.75,0.0,60,0.2,0.55,2.0,0.15,0.0,25.0,True,0,-1.0,AUR,140,-0.14365152996222097,-0.24356616390333907,0.14665382304685076,-1.66082382881712,-2.0423173214509758,-0.16873043157319978,0.24998275067481446,4.494549120977317
