config_id,fold,method,fold_return
W_K8P4_CP30,47,AUR,-0.04078891351243197
W_K8P4_CP30,47,QAUR,-0.04078891351243197
W_K8P4_CP30,48,AUR,0.01787711662973246
W_K8P4_CP30,48,QAUR,0.01787711662973246
W_K8P4_CP30,49,AUR,0.03455798015868594
W_K8P4_CP30,49,QAUR,0.029633409364324015
W_K8P4_CP30,50,AUR,-0.018395823029503044
W_K8P4_CP30,50,QAUR,-0.024854798067265427
W_K8P4_CP30,51,AUR,-0.019717118605676043
W_K8P4_CP30,51,QAUR,-0.018983222713745862
W_K8P4_CP50,45,AUR,0.0004875887621602626
W_K8P4_CP50,45,QAUR,0.0012453896927888675
W_K8P4_CP50,46,AUR,0.008717034879476948
W_K8P4_CP50,46,QAUR,0.008717034879476948
W_K8P4_CP50,47,AUR,-0.04078891351243197
W_K8P4_CP50,47,QAUR,-0.04078891351243197
W_K8P4_CP50,48,AUR,0.01787711662973246
W_K8P4_CP50,48,QAUR,0.01787711662973246
W_K8P4_CP50,49,AUR,0.03430105019023255
W_K8P4_CP50,49,QAUR,0.029633409364324015
W_K8P4_CP50,50,AUR,-0.013363306403980424
W_K8P4_CP50,50,QAUR,-0.030563991209538455
W_K8P4_CP50,51,AUR,-0.019227871455829715
W_K8P4_CP50,51,QAUR,-0.1321686012171588
W_K8P4_CP75,45,AUR,0.0004875887621602626
W_K8P4_CP75,45,QAUR,0.0004875887621602626
W_K8P4_CP75,46,AUR,0.008717034879476948
W_K8P4_CP75,46,QAUR,0.003752968028608583
W_K8P4_CP75,47,AUR,-0.04381827898237789
W_K8P4_CP75,47,QAUR,-0.04381827898237789
W_K8P4_CP75,48,AUR,0.01725012646386359
W_K8P4_CP75,48,QAUR,0.01725012646386359
W_K8P4_CP75,49,AUR,0.034247044143187466
W_K8P4_CP75,49,QAUR,0.0295795290429528
W_K8P4_CP75,50,AUR,-0.01336330640296568
W_K8P4_CP75,50,QAUR,-0.030563991241688293
W_K8P4_CP75,51,AUR,-0.1411808794125783
W_K8P4_CP75,51,QAUR,-0.14118087945160895
W_K10P6_CP30,45,AUR,-0.013783808305198986
W_K10P6_CP30,45,QAUR,-0.009968136843840125
W_K10P6_CP30,46,AUR,0.012619152803857725
W_K10P6_CP30,46,QAUR,0.024968078926954185
W_K10P6_CP30,47,AUR,-0.038869432050843256
W_K10P6_CP30,47,QAUR,-0.038869432050843256
W_K10P6_CP30,48,AUR,0.025728162815696898
W_K10P6_CP30,48,QAUR,0.025728162815696898
W_K10P6_CP30,49,AUR,0.030864747983254004
W_K10P6_CP30,49,QAUR,0.0180324053942178
W_K10P6_CP30,50,AUR,-0.021623169878764115
W_K10P6_CP30,50,QAUR,-0.030059243540715652
W_K10P6_CP30,51,AUR,-0.12099994217297128
W_K10P6_CP30,51,QAUR,-0.12095597621909704
W_K10P6_CP50,45,AUR,-0.022910773878805912
W_K10P6_CP50,45,QAUR,-0.02238721425084378
W_K10P6_CP50,46,AUR,0.011175084519173817
W_K10P6_CP50,46,QAUR,0.011175084510831379
W_K10P6_CP50,47,AUR,-0.038869432050843256
W_K10P6_CP50,47,QAUR,-0.038869432050843256
W_K10P6_CP50,48,AUR,0.022408552939385595
W_K10P6_CP50,48,QAUR,0.023830577360603344
W_K10P6_CP50,49,AUR,0.0308921720687525
W_K10P6_CP50,49,QAUR,0.024986387942135035
W_K10P6_CP50,50,AUR,-0.02257174909662596
W_K10P6_CP50,50,QAUR,-0.02091521265125673
W_K10P6_CP50,51,AUR,-0.12099994214280696
W_K10P6_CP50,51,QAUR,-0.12241809601236175
W_K10P6_CP75,45,AUR,-0.02253902630660265
W_K10P6_CP75,45,QAUR,-0.02238721425084378
W_K10P6_CP75,46,AUR,0.011175084440774752
W_K10P6_CP75,46,QAUR,0.011175084510831379
W_K10P6_CP75,47,AUR,-0.038869432050843256
W_K10P6_CP75,47,QAUR,-0.038826783184349956
W_K10P6_CP75,48,AUR,0.023830577360603344
W_K10P6_CP75,48,QAUR,0.023900329476395088
W_K10P6_CP75,49,AUR,0.030535166818195902
W_K10P6_CP75,49,QAUR,0.02498638795026631
W_K10P6_CP75,50,AUR,-0.02639075093943155
W_K10P6_CP75,50,QAUR,-0.03325471142770087
W_K10P6_CP75,51,AUR,-0.12246035430536684
W_K10P6_CP75,51,QAUR,-0.10882828475061124
P_K10P6_CP30_NONE,45,AUR,-0.013783808305198986
P_K10P6_CP30_NONE,45,QAUR,-0.009968136843840125
P_K10P6_CP30_NONE,46,AUR,0.012619152803857725
