config_id,market_gate_lookback,sample,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
C2_IV_M,30,observed_2026,AUR,160,-0.01563588032538421,-0.024515560976452355,0.11226466492121882,-0.2183729047216774,-0.2227301989816958,-0.09293294218253223
C2_IV_M,30,observed_2026,QAUR,160,-0.01563588032538421,-0.024515560976452355,0.11226466492121882,-0.2183729047216774,-0.2227301989816958,-0.09293294218253223
C2_IV_M,40,development_2022_2024,AUR,604,0.07867326114808204,0.03210119693337754,0.07981769715729317,0.4021814469304614,0.3360159199814837,-0.13904756256375317
C2_IV_M,40,development_2022_2024,QAUR,604,0.08313921894592413,0.03388188344092513,0.07975267665403163,0.4248369441931746,0.3548437426806672,-0.13904756256375317
C2_IV_M,40,historical_holdout_2024_2025,AUR,312,0.1349063654750824,0.10762001506663355,0.1265336838285856,0.850524633523084,0.9007833729687322,-0.1337524975255776
C2_IV_M,40,historical_holdout_2024_2025,QAUR,312,0.12110311076267477,0.09672649401186884,0.12278422115498737,0.7877762557924561,0.8118757289909735,-0.1337524975255776
C2_IV_M,40,observed_2026,AUR,160,-0.013959213747786747,-0.02189735140518323,0.09966313369487466,-0.21971365532437936,-0.19220617772114656,-0.07011136482075941
C2_IV_M,40,observed_2026,QAUR,160,-0.013959213747786747,-0.02189735140518323,0.09966313369487466,-0.21971365532437936,-0.19220617772114656,-0.07011136482075941
C2_NMV_X,0,development_2022_2024,AUR,604,-0.23184285019515904,-0.10420703363277495,0.1850617942472814,-0.5630931768311535,-0.6090990929171083,-0.5076548754419614
C2_NMV_X,0,development_2022_2024,QAUR,604,-0.2081642449323986,-0.09278820594456338,0.18485813370740478,-0.5019427821955048,-0.5402600191860396,-0.4924782337086703
C2_NMV_X,0,historical_holdout_2024_2025,AUR,312,0.19737745555728847,0.15660919083670977,0.13162689804992228,1.1897962586439774,1.602050863021257,-0.12028015295124028
C2_NMV_X,0,historical_holdout_2024_2025,QAUR,312,0.2573668816605552,0.20319136410000738,0.13423414468510753,1.5137084873350428,1.9949695183854452,-0.12028015295124028
C2_NMV_X,0,observed_2026,AUR,160,0.09528222289298172,0.15412676093220679,0.15605860926152354,0.98762100765566,1.3099446520782059,-0.08526699537446336
C2_NMV_X,0,observed_2026,QAUR,160,0.08424024440790734,0.13585448985364157,0.1473725101021566,0.9218441740557252,1.3025353200014458,-0.08195668340082451
C2_NMV_X,20,development_2022_2024,AUR,604,0.027627971279829966,0.011435433190383426,0.10033828764155012,0.11396878957348291,0.08697330433124074,-0.25582336911998016
C2_NMV_X,20,development_2022_2024,QAUR,604,0.027551084295839967,0.01140385929662524,0.10033813422803113,0.11365428891380942,0.086733165997604,-0.25582336911998016
C2_NMV_X,20,historical_holdout_2024_2025,AUR,312,0.2273971724836812,0.17997442845298584,0.09242141946838196,1.9473237858520058,2.787633226914189,-0.04289452779765701
C2_NMV_X,20,historical_holdout_2024_2025,QAUR,312,0.2780132199124934,0.21912371553463883,0.09344368606732426,2.3449815044407036,3.290472814820903,-0.041314681351656946
C2_NMV_X,20,observed_2026,AUR,160,0.014942209760637981,0.02363486677622384,0.11999872908921189,0.19695930911612178,0.15911787254319568,-0.0852669953744637
C2_NMV_X,20,observed_2026,QAUR,160,0.009078026154371255,0.014335159887780557,0.107133158934695,0.13380693736958527,0.11981223417480043,-0.08847964249088658
C2_NMV_X,30,development_2022_2024,AUR,604,0.0960608398494498,0.03901007650144628,0.10663636274379043,0.3658233973637467,0.3040011518465559,-0.25582336911998016
C2_NMV_X,30,development_2022_2024,QAUR,604,0.09597883272760788,0.03897764181239549,0.106636250462576,0.3655196206103918,0.3037483919517924,-0.25582336911998016
C2_NMV_X,30,historical_holdout_2024_2025,AUR,312,0.1541275460626026,0.12274704513263957,0.1258220689606653,0.975560536768895,1.1526348095529102,-0.12028015295123973
C2_NMV_X,30,historical_holdout_2024_2025,QAUR,312,0.20172206226324763,0.15999763745911944,0.1266223697806203,1.263581132909797,1.4604677360156466,-0.12028015295123973
C2_NMV_X,30,observed_2026,AUR,160,0.01999568666430651,0.03167374414215307,0.1308865136507968,0.24199394772373672,0.23194712626293068,-0.08526699537446336
