spec_id,worst_segment_return,worst_segment_sharpe,worst_segment_drawdown,minimum_segment_exposure,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps
OV0092,-0.0726142127687106,-0.5038686583369312,-0.1522509558934404,0.15154190496894507,20,0,0.1,60,0.1,25.0
OV0040,-0.07823469250989812,-0.5245660550637227,-0.1522509558934404,0.1720060333588981,0,3,0.1,120,0.1,25.0
OV0375,-0.07823469250989812,-0.5245660550637227,-0.1522509558934404,0.1720060333588981,200,3,0.1,120,0.05,25.0
OV0376,-0.07823469250989812,-0.5245660550637227,-0.1522509558934404,0.1720060333588981,200,3,0.1,120,0.1,25.0
OV0032,-0.07855139509721787,-0.5264133806829,-0.1522509558934404,0.1724137931034483,0,3,0.0,60,0.1,25.0
OV0044,-0.07855139509721787,-0.5264133806829,-0.1522509558934404,0.1724137931034483,0,3,0.12,60,0.1,25.0
OV0048,-0.07855139509721787,-0.5264133806829,-0.1522509558934404,0.1724137931034483,0,3,0.12,120,0.1,25.0
OV0052,-0.07855139509721787,-0.5264133806829,-0.1522509558934404,0.1724137931034483,0,3,0.15,60,0.1,25.0
OV0056,-0.07855139509721787,-0.5264133806829,-0.1522509558934404,0.1724137931034483,0,3,0.15,120,0.1,25.0
OV0367,-0.07855139509721787,-0.5264133806829,-0.1522509558934404,0.1724137931034483,200,3,0.0,60,0.05,25.0
OV0368,-0.07855139509721787,-0.5264133806829,-0.1522509558934404,0.1724137931034483,200,3,0.0,60,0.1,25.0
OV0379,-0.07855139509721787,-0.5264133806829,-0.1522509558934404,0.1724137931034483,200,3,0.12,60,0.05,25.0
OV0380,-0.07855139509721787,-0.5264133806829,-0.1522509558934404,0.1724137931034483,200,3,0.12,60,0.1,25.0
OV0383,-0.07855139509721787,-0.5264133806829,-0.1522509558934404,0.1724137931034483,200,3,0.12,120,0.05,25.0
OV0384,-0.07855139509721787,-0.5264133806829,-0.1522509558934404,0.1724137931034483,200,3,0.12,120,0.1,25.0
