spec_id,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,sample,method,mean_exposure,active_folds,total_folds,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
OV0012,0,0,0.1,120,0.1,25.0,bridge,AUR,0.699835950763031,1,1,22,0.0013132503863775291,0.015146378611360811,0.09543756205420935,0.15870458428891487,0.4443262078326012,-0.040478060796473314
OV0012,0,0,0.1,120,0.1,25.0,bridge,QAUR,0.6720099587302066,1,1,22,-0.002632791993713357,-0.029745823817928785,0.1184283872388545,-0.2511713999611881,-0.43910753495547644,-0.03417536064190052
OV0012,0,0,0.1,120,0.1,25.0,development,AUR,0.3292303872662843,11,29,604,-0.1677657555453146,-0.07375691668188222,0.1163874099682635,-0.6337190311391434,-0.4392981650806085,-0.30234600678922074
OV0012,0,0,0.1,120,0.1,25.0,development,QAUR,0.3292303872662843,11,29,604,-0.1677657555453146,-0.07375691668188222,0.1163874099682635,-0.6337190311391434,-0.4392981650806085,-0.30234600678922074
OV0012,0,0,0.1,120,0.1,25.0,historical_holdout,AUR,0.3703020975954775,7,15,312,0.09172133408486571,0.07345194061406812,0.04812383289252191,1.5263111061438752,1.9399759549737212,-0.03475552016869077
OV0012,0,0,0.1,120,0.1,25.0,historical_holdout,QAUR,0.3664159136140448,7,15,312,0.11551749062894845,0.0923110077435163,0.052136347367280234,1.7705691404351989,2.2984529678858068,-0.03475552016869077
OV0012,0,0,0.1,120,0.1,25.0,observed_2026,AUR,0.572542742418983,7,8,160,0.13517495413414404,0.22102318596643422,0.09829987617746674,2.248458437194851,3.1469507566077453,-0.03454309109398401
OV0012,0,0,0.1,120,0.1,25.0,observed_2026,QAUR,0.5634407008507194,7,8,160,0.1351182512621365,0.22092712642965973,0.09735226967528768,2.2693577372828404,3.157512068361082,-0.0345430910939839
OV0013,0,0,0.12,60,-1.0,25.0,bridge,AUR,0.9701622436723958,1,1,22,0.0010668424443769364,0.01228857298960162,0.13218744726070464,0.09296323701119422,0.2600437705187785,-0.055729267244441605
OV0013,0,0,0.12,60,-1.0,25.0,bridge,QAUR,1.0,1,1,22,-0.004818330954499572,-0.053822585497676934,0.17637332367311662,-0.3051628464938927,-0.5339695699849608,-0.05054938119834351
OV0013,0,0,0.12,60,-1.0,25.0,development,AUR,0.8579763700905104,29,29,604,-0.10314736466042174,-0.04440391573486424,0.14465876184140034,-0.30695628228553073,-0.34940649063693974,-0.4179250087624148
OV0013,0,0,0.12,60,-1.0,25.0,development,QAUR,0.8579763700905104,29,29,604,-0.10314736466042174,-0.04440391573486424,0.14465876184140034,-0.30695628228553073,-0.34940649063693974,-0.4179250087624148
OV0013,0,0,0.12,60,-1.0,25.0,historical_holdout,AUR,0.8648390230487737,15,15,312,0.12038110456466056,0.09615597969233991,0.12436645582668186,0.7731665186820447,0.9349119091904038,-0.13096078514839304
OV0013,0,0,0.12,60,-1.0,25.0,historical_holdout,QAUR,0.8397767407397285,15,15,312,0.1496046070754331,0.11919188910719059,0.12062901033321001,0.9880864377312746,1.1889853661008905,-0.13096078514839304
OV0013,0,0,0.12,60,-1.0,25.0,observed_2026,AUR,0.7986600687264112,8,8,160,0.13866731917303454,0.22694486813760073,0.12986629234977823,1.7475271221754278,2.6286623683981998,-0.08397927948109041
OV0013,0,0,0.12,60,-1.0,25.0,observed_2026,QAUR,0.787074736958705,8,8,160,0.13523559284295317,0.22112591620183641,0.12842941647496872,1.7217699984250456,2.6259053571892745,-0.08397927948109063
OV0014,0,0,0.12,60,0.0,25.0,bridge,AUR,0.9701622436723958,1,1,22,0.0010668424443769364,0.01228857298960162,0.13218744726070464,0.09296323701119422,0.2600437705187785,-0.055729267244441605
OV0014,0,0,0.12,60,0.0,25.0,bridge,QAUR,1.0,1,1,22,-0.004818330954499572,-0.053822585497676934,0.17637332367311662,-0.3051628464938927,-0.5339695699849608,-0.05054938119834351
OV0014,0,0,0.12,60,0.0,25.0,development,AUR,0.5606992575701049,19,29,604,-0.21180593933709368,-0.09453131160218797,0.13164005356998612,-0.7181044753368367,-0.6505213189616135,-0.38133347695657493
OV0014,0,0,0.12,60,0.0,25.0,development,QAUR,0.5606992575701049,19,29,604,-0.21180593933709368,-0.09453131160218797,0.13164005356998612,-0.7181044753368367,-0.6505213189616135,-0.38133347695657493
