spec_id,worst_method_sharpe,worst_method_return,worst_method_drawdown,minimum_exposure,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,eligible
OV0112,-0.43854520988024154,-0.06596282708350176,-0.1522509558934404,0.1646143624075532,20,0,0.15,120,0.1,25.0,False
OV0192,-0.448408395462822,-0.11259307289048393,-0.30203319479990964,0.19499055466005655,60,0,0.15,60,0.1,25.0,False
OV0195,-0.45173359293999565,-0.11448813460308882,-0.30203319479990964,0.22495601128468062,60,0,0.15,120,0.05,25.0,False
OV0188,-0.45236938037187313,-0.11339500023662319,-0.30203319479990964,0.19376045544328394,60,0,0.12,120,0.1,25.0,False
OV0180,-0.4625604438711481,-0.11541750220675562,-0.30203319479990964,0.1897949186420945,60,0,0.1,120,0.1,25.0,False
OV0184,-0.46285918348675137,-0.1155428573164351,-0.30203319479990964,0.19047520234873488,60,0,0.12,60,0.1,25.0,False
OV0107,-0.4647833006414979,-0.06876264496519013,-0.1522509558934404,0.16050779603936688,20,0,0.15,60,0.05,25.0,False
OV0108,-0.4647833006414979,-0.06876264496519013,-0.1522509558934404,0.16050779603936688,20,0,0.15,60,0.1,25.0,False
OV0187,-0.4659728995095745,-0.11701463572112947,-0.30203319479990964,0.21444756764843415,60,0,0.12,120,0.05,25.0,False
OV0191,-0.4698282613667926,-0.11870579811218473,-0.30203319479990964,0.2294733132807462,60,0,0.15,60,0.05,25.0,False
OV0103,-0.4726087951935276,-0.06960418076791564,-0.1522509558934404,0.1592776968225943,20,0,0.12,120,0.05,25.0,False
OV0104,-0.4726087951935276,-0.06960418076791564,-0.1522509558934404,0.1592776968225943,20,0,0.12,120,0.1,25.0,False
OV0179,-0.47406170877742465,-0.11841775841378055,-0.30203319479990964,0.207034178813053,60,0,0.1,120,0.05,25.0,False
OV0176,-0.4787570017552514,-0.11855960505278051,-0.30203319479990964,0.18310200387620268,60,0,0.1,60,0.1,25.0,False
OV0183,-0.4817800036561245,-0.12081217885533913,-0.30203319479990964,0.2204180651180019,60,0,0.12,60,0.05,25.0,False
OV0010,-0.4917983638872776,-0.1400319382273495,-0.3214686436732578,0.5271242399056442,0,0,0.1,120,0.0,25.0,False
OV0095,-0.4927486383432275,-0.07167191422016927,-0.1522509558934404,0.15531216002140483,20,0,0.1,120,0.05,25.0,False
OV0096,-0.4927486383432275,-0.07167191422016927,-0.1522509558934404,0.15531216002140483,20,0,0.1,120,0.1,25.0,False
OV0099,-0.493354090796268,-0.07185812389692803,-0.1522509558934404,0.15599244372804522,20,0,0.12,60,0.05,25.0,False
OV0100,-0.493354090796268,-0.07185812389692803,-0.1522509558934404,0.15599244372804522,20,0,0.12,60,0.1,25.0,False
OV0175,-0.4948725893876224,-0.12291653931542668,-0.30203319479990964,0.20805438951725855,60,0,0.1,60,0.05,25.0,False
OV0091,-0.5038686583369312,-0.0726142127687106,-0.1522509558934404,0.15154190496894507,20,0,0.1,60,0.05,25.0,False
OV0092,-0.5038686583369312,-0.0726142127687106,-0.1522509558934404,0.15154190496894507,20,0,0.1,60,0.1,25.0,False
OV0040,-0.5245660550637227,-0.07823469250989812,-0.1522509558934404,0.1720060333588981,0,3,0.1,120,0.1,25.0,False
OV0375,-0.5245660550637227,-0.07823469250989812,-0.1522509558934404,0.1720060333588981,200,3,0.1,120,0.05,25.0,False
OV0376,-0.5245660550637227,-0.07823469250989812,-0.1522509558934404,0.1720060333588981,200,3,0.1,120,0.1,25.0,False
OV0032,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,0,3,0.0,60,0.1,25.0,False
OV0044,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,0,3,0.12,60,0.1,25.0,False
OV0048,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,0,3,0.12,120,0.1,25.0,False
OV0052,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,0,3,0.15,60,0.1,25.0,False
OV0056,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,0,3,0.15,120,0.1,25.0,False
OV0367,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,200,3,0.0,60,0.05,25.0,False
OV0368,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,200,3,0.0,60,0.1,25.0,False
OV0379,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,200,3,0.12,60,0.05,25.0,False
OV0380,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,200,3,0.12,60,0.1,25.0,False
OV0383,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,200,3,0.12,120,0.05,25.0,False
OV0384,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,200,3,0.12,120,0.1,25.0,False
OV0387,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,200,3,0.15,60,0.05,25.0,False
OV0388,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,200,3,0.15,60,0.1,25.0,False
OV0391,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,200,3,0.15,120,0.05,25.0,False
OV0392,-0.5264133806829,-0.07855139509721787,-0.1522509558934404,0.1724137931034483,200,3,0.15,120,0.1,25.0,False
OV0254,-0.5359500646320455,-0.1358685990705868,-0.30203319479990964,0.3103448275862069,120,0,0.0,60,0.0,25.0,False
OV0266,-0.5359500646320455,-0.1358685990705868,-0.30203319479990964,0.3103448275862069,120,0,0.12,60,0.0,25.0,False
OV0270,-0.5359500646320455,-0.1358685990705868,-0.30203319479990964,0.3103448275862069,120,0,0.12,120,0.0,25.0,False
OV0274,-0.5359500646320455,-0.1358685990705868,-0.30203319479990964,0.3103448275862069,120,0,0.15,60,0.0,25.0,False
OV0278,-0.5359500646320455,-0.1358685990705868,-0.30203319479990964,0.3103448275862069,120,0,0.15,120,0.0,25.0,False
OV0262,-0.5401653889315815,-0.13676835073218985,-0.30203319479990964,0.30831929640944944,120,0,0.1,120,0.0,25.0,False
OV0036,-0.5405641932534071,-0.07963826186663892,-0.1522509558934404,0.1680508295051305,0,3,0.1,60,0.1,25.0,False
OV0371,-0.5405641932534071,-0.07963826186663892,-0.1522509558934404,0.1680508295051305,200,3,0.1,60,0.05,25.0,False
OV0372,-0.5405641932534071,-0.07963826186663892,-0.1522509558934404,0.1680508295051305,200,3,0.1,60,0.1,25.0,False
OV0039,-0.5428417476897537,-0.08136106239865104,-0.1522509558934404,0.1892452935298566,0,3,0.1,120,0.05,25.0,False
OV0258,-0.543176485856174,-0.13707204246629323,-0.30203319479990964,0.3059818639878891,120,0,0.1,60,0.0,25.0,False
OV0047,-0.5476026357181714,-0.08231328237322677,-0.1522509558934404,0.19310090530859847,0,3,0.12,120,0.05,25.0,False
OV0055,-0.5515558856274497,-0.08327533762339223,-0.1522509558934404,0.19827268335988601,0,3,0.15,120,0.05,25.0,False
OV0043,-0.5542965498126557,-0.08404110030336909,-0.1522509558934404,0.20235665587271529,0,3,0.12,60,0.05,25.0,False
OV0118,-0.5544580047904462,-0.07838139069785321,-0.1522509558934404,0.17097348921856256,20,3,0.1,60,0.0,25.0,False
OV0146,-0.5544580047904462,-0.07838139069785321,-0.1522509558934404,0.17097348921856256,20,6,0.1,60,0.0,25.0,False
OV0031,-0.5569534629433802,-0.08489860961134987,-0.1522509558934404,0.20689655172413793,0,3,0.0,60,0.05,25.0,False
OV0051,-0.5569534629433802,-0.08489860961134987,-0.1522509558934404,0.20689655172413793,0,3,0.15,60,0.05,25.0,False
OV0018,-0.559558644146625,-0.16280128187579457,-0.34851875122875364,0.5522211046092267,0,0,0.12,120,0.0,25.0,False
OV0114,-0.5626485885084529,-0.07969054329830472,-0.1522509558934404,0.1724137931034483,20,3,0.0,60,0.0,25.0,False
OV0126,-0.5626485885084529,-0.07969054329830472,-0.1522509558934404,0.1724137931034483,20,3,0.12,60,0.0,25.0,False
OV0130,-0.5626485885084529,-0.07969054329830472,-0.1522509558934404,0.1724137931034483,20,3,0.12,120,0.0,25.0,False
OV0134,-0.5626485885084529,-0.07969054329830472,-0.1522509558934404,0.1724137931034483,20,3,0.15,60,0.0,25.0,False
