ticker,event_type,record_date,ex_date,reason,source_url,corroboration_url
CII,SHARE_CONVERSION,2020-10-01,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/74407,
CKG,RIGHTS_ISSUE,2025-05-06,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/182079,
CKG,STOCK_DIVIDEND,2025-05-06,2025-05-05,material event terms incomplete,https://www.vsd.vn/vi/ad/182070,https://cafef.vn/du-lieu/ckg/thong-tin-chung.chn
CKG,STOCK_DIVIDEND,2022-10-20,2022-10-19,material event terms incomplete,https://www.vsd.vn/vi/ad/153675,https://cafef.vn/du-lieu/ckg/thong-tin-chung.chn
CKG,RIGHTS_ISSUE,2021-01-28,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/77633,
CMG,BONUS_SHARE,2023-12-06,2023-12-05,"term conflict official=0.06, reference=0.202",https://www.vsd.vn/vi/ad/164314,https://cafef.vn/du-lieu/cmg/thong-tin-chung.chn
CMG,BONUS_SHARE,2022-09-13,2022-09-12,"term conflict official=0.13, reference=0.2462",https://www.vsd.vn/vi/ad/152983,https://cafef.vn/du-lieu/cmg/thong-tin-chung.chn
CMV,RIGHTS_ISSUE,2021-01-22,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/77499,
CMX,RIGHTS_ISSUE,2021-08-06,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/143460,
CMX,RIGHTS_ISSUE,2020-02-12,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/62846,
CNG,CASH_DIVIDEND,2020-09-30,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/73651,
COM,CASH_DIVIDEND,2025-03-18,2025-03-17,material event terms incomplete,https://www.vsd.vn/vi/ad/179581,https://cafef.vn/du-lieu/com/thong-tin-chung.chn
COM,CASH_DIVIDEND,2022-12-19,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/155001,
COM,CASH_DIVIDEND,2022-03-21,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/147943,
CRC,STOCK_DIVIDEND,2025-06-16,2025-06-13,material event terms incomplete,https://www.vsd.vn/vi/ad/183631,https://cafef.vn/du-lieu/crc/thong-tin-chung.chn
CRC,RIGHTS_ISSUE,2024-03-01,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/167671,
CRC,RIGHTS_ISSUE,2021-09-28,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/144073,
CRE,RIGHTS_ISSUE,2022-08-16,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/152123,
CRE,RIGHTS_ISSUE,2021-09-15,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/144282,
CRV,RIGHTS_ISSUE,2025-12-08,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/189494,
CRV,CASH_DIVIDEND,2025-07-18,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/184841,
CRV,CASH_DIVIDEND,2025-02-05,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/178724,
CRV,CASH_DIVIDEND,2024-03-12,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/168206,
CRV,CASH_DIVIDEND,2023-11-30,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/164601,
CRV,CASH_DIVIDEND,2023-08-08,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/160381,
CRV,CASH_DIVIDEND,2022-12-02,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/154674,
CRV,CASH_DIVIDEND,2022-07-21,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/151916,
CRV,RIGHTS_ISSUE,2022-03-11,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/148504,
CSV,CASH_DIVIDEND,2023-12-29,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/165223,
CSV,CASH_DIVIDEND,2023-06-05,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/158930,
CTD,CASH_DIVIDEND,2024-12-25,2024-12-24,material event terms incomplete,https://www.vsd.vn/vi/ad/177474,https://cafef.vn/du-lieu/ctd/thong-tin-chung.chn
CTF,STOCK_DIVIDEND,2022-07-13,2022-07-12,material event terms incomplete,https://www.vsd.vn/vi/ad/151742,https://cafef.vn/du-lieu/ctf/thong-tin-chung.chn
CTF,RIGHTS_ISSUE,2020-12-28,,missing_ex_date_corroboration,https://www.vsd.vn/vi/ad/76958,
