ticker,year,source,data_class,records,start,end,missing_close
BMI,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BMI,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BMI,2024,finance_datareader_yahoo_hose,real,262,2024-01-01,2024-12-31,0
BMI,2025,finance_datareader_yahoo_hose,real,260,2025-01-01,2025-12-31,0
BMP,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BMP,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
BMP,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BMP,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BMP,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
BMP,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
BRC,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
BRC,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
BRC,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
BRC,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
BRC,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
BRC,2025,finance_datareader_yahoo_hose,real,258,2025-01-01,2025-12-31,0
BSI,2020,finance_datareader_yahoo_hose,real,261,2020-01-02,2020-12-31,0
BSI,2021,fdr_segment_scaled_by_cafef_crosscheck,real,81,2021-09-10,2021-12-31,0
BSI,2021,finance_datareader_yahoo_hose,real,180,2021-01-01,2021-09-09,0
BSI,2022,fdr_segment_scaled_by_cafef_crosscheck,real,260,2022-01-03,2022-12-30,0
BSI,2023,fdr_segment_scaled_by_cafef_crosscheck,real,260,2023-01-02,2023-12-29,0
BSI,2024,fdr_segment_scaled_by_cafef_crosscheck,real,262,2024-01-01,2024-12-31,0
BSI,2025,fdr_segment_scaled_by_cafef_crosscheck,real,261,2025-01-01,2025-12-31,0
BSR,2025,finance_datareader_yahoo_hose,real,248,2025-01-20,2025-12-31,0
